paper_id,title,reference,venue,year,n_citation,author
58,Spectral Efficiency of Random Time-Hopping CDMA,-1,IEEE Transactions on Information Theory,2015,3,Guido Carlo Ferrante
60,Unchecked strategy diversification and collapse in continuous voluntary public good games,-1,arXiv: Physics and Society,2015,1,Tatsuya Sasaki
62,Display Blindness?: Looking Again at the Visibility of Situated Displays using Eye-tracking,-1,human factors in computing systems,2015,50,Nick Sheep Dalton
63,Vulnerability Measures of Transformation Graph Gxy,-1,International Journal of Foundations of Computer Science,2015,0,Aysun Ozan Aytaç
64,Isogeometric Analysis of the Navier-Stokes equations with Taylor-Hood B-spline elements,-1,Applied Mathematics and Computation,2015,50,Babak S. Hosseini
65,Remote Sensing of Epibenthic Shellfish Using Synthetic Aperture Radar Satellite Imagery,-1,Remote Sensing,2015,12,Sil Nieuwhof
66,Context-driven automatic subgraph creation for literature-based discovery,-1,Journal of Biomedical Informatics,2015,24,Delroy H. Cameron
67,QSAR modeling of the antimicrobial activity of peptides as a mathematical function of a sequence of amino acids,-1,Computational Biology and Chemistry,2015,2,Mariya A. Toropova
68,A stepwise approach to developing staged applications,-1,The Journal of Supercomputing,2015,1,Tiago Salmito
69,"Short-term motor training, but not observational training, alters neurocognitive mechanisms of action processing in infancy",-1,Journal of Cognitive Neuroscience,2015,32,Sarah A. Gerson
70,Fluid Limits of G / G /1+ G Queues Under the Nonpreemptive Earliest-Deadline-First Discipline,-1,Mathematics of Operations Research,2015,0,Rami Atar
71,Configuration Approaches to Enhance Computing Efficiency of Coarse-Grained Reconfigurable Array,-1,"Journal of Circuits, Systems, and Computers",2015,0,Chen Yang
72,DeDaL: Cytoscape 3 app for producing and morphing data-driven and structure-driven network layouts.,-1,BMC Systems Biology,2015,50,Urszula Czerwinska
74,Optimizing Relocatable Code for Efficient Software Update in Networked Embedded Systems,-1,ACM Transactions on Sensor Networks,2015,12,Wei Dong
75,Diluted Treatment Effect Estimation for Trigger Analysis in Online Controlled Experiments,-1,web search and data mining,2015,9,Alex Deng
77,Optimal Policies and Bounds for Stochastic Inventory Systems with Lost Sales,-1,Journal of Optimization Theory and Applications,2015,0,Xiaoming Li
78,Location–allocation approaches for hospital network planning under uncertainty,-1,European Journal of Operational Research,2015,27,Ana Maria Mestre
79,Hong Kong Wi-Fi Adoption and Security Survey 2014,-1,computational intelligence and security,2015,0,Ken Kin Kiu Fong
80,On the Capacity of Wireless Networks with Random Transmission Delay,-1,arXiv: Information Theory,2015,0,Niv Voskoboynik
82,SwarmViz: An open-source visualization tool for Particle Swarm Optimization,-1,congress on evolutionary computation,2015,8,Guillaume Stefan Jornod
84,Failure sketching: a technique for automated root cause diagnosis of in-production failures,-1,symposium on operating systems principles,2015,24,Baris Kasikci
85,Practical and optimal LSH for angular distance,-1,neural information processing systems,2015,93,Alexandr Andoni
86,Lifting for mixed integer programs with variable upper bounds,-1,Discrete Applied Mathematics,2015,50,Sergey Shebalov
90,Academics as orchestrators of continuous innovation ecosystems: towards a fourth generation of CI initiatives,-1,International Journal of Technology Management,2015,12,Luca Gastaldi
91,Performance analysis of buffered crossbar switch scheduling algorithms,-1,International Journal of Information and Computer Security,2015,0,N. Narayanan Prasanth
92,Comparison of the Achievable Rates in OFDM and Single Carrier Modulation with I.I.D. Inputs,-1,IEEE Transactions on Information Theory,2015,50,Yair Carmon
93,Understanding and Diagnosing Visual Tracking Systems,-1,international conference on computer vision,2015,127,N. Wang
94,Blind identification of image manipulation type using mixed statistical moments,-1,Journal of Electronic Imaging,2015,1,Bo Gyu Jeong
96,De-anonymizing and countermeasures in anonymous communication networks,-1,IEEE Communications Magazine,2015,11,Ming Yang
97,PALPAS -- PAssword Less PAssword Synchronization,-1,arXiv: Cryptography and Security,2015,3,Moritz Horsch
98,Multi-antenna Wireless Energy Transfer for Backscatter Communication Systems,-1,IEEE Journal on Selected Areas in Communications,2015,22,Gang Yang
100,Quaternion-Valued Echo State Networks,-1,IEEE Transactions on Neural Networks,2015,25,Yili Xia
101,QPACE 2 and Domain Decomposition on the Intel Xeon Phi,-1,"arXiv: Distributed, Parallel, and Cluster Computing",2015,1,P. Arts
102,ICD Code Retrieval: Novel Approach for Assisted Disease Classification,-1,data integration in the life sciences,2015,5,Stefano Rizzo
103,Optimizing the Hadoop MapReduce Framework with high-performance storage devices,-1,The Journal of Supercomputing,2015,12,Sangwhan Moon
104,A practical framework for 802.11 MIMO rate adaptation,-1,Computer Networks,2015,9,Lara Deek
107,A systematic study of rare gas atoms encapsulated in small fullerenes using dispersion corrected density functional theory,-1,Journal of Computational Chemistry,2015,16,Rebecca Sure
108,A generalization of commuting graphs,-1,"Discrete Mathematics, Algorithms and Applications",2015,50,Mojgan Afkhami
110,AMC: an adaptive multi‐level cache algorithm in hybrid storage systems,-1,Concurrency and Computation: Practice and Experience,2015,2,Yuxia Cheng
111,Outage probability in Poisson-cluster-based LTE two-tier femtocell networks,-1,communications and mobile computing,2015,2,Zoltán Jakó
112,Energy efficient strategy for throughput improvement in wireless sensor networks.,-1,Sensors,2015,50,Sohail Jabbar
113,Efficient geo-graph contiguity and hole algorithms for geographic zoning and dynamic plane graph partitioning,-1,Mathematical Programming,2015,50,Douglas M. King
114,Addressing the Rare Word Problem in Neural Machine Translation,-1,meeting of the association for computational linguistics,2015,90,Thang Luong
115,"Quantitative gene set analysis generalized for repeated measures, confounder adjustment, and continuous covariates",-1,BMC Bioinformatics,2015,5,Jacob Turner
116,Completing keyword patent search with semantic patent search: introducing a semiautomatic iterative method for patent near search based on semantic similarities,-1,Scientometrics,2015,1,Ansgar Moeller
117,Subjective independence and concave expected utility,-1,Journal of Economic Theory,2015,13,Ehud Lehrer
118,Logical Modeling and Analysis of Regulatory Genetic Networks in a Non Monotonic Framework,-1,international conference on bioinformatics and biomedical engineering,2015,2,Nicolas Mobilia
119,High performance spatial queries for spatial big data: from medical imaging to GIS,-1,Sigspatial Special,2015,11,Fusheng Wang
120,Cryptanalysis of a certificateless identification scheme,-1,Security and Communication Networks,2015,50,Ji-Jian Chin
121,GPU-UPGMA: high-performance computing for UPGMA algorithm based on graphics processing units,-1,Concurrency and Computation: Practice and Experience,2015,2,Yu-Shiang Lin
122,Novel Monitoring Techniques for Characterizing Frictional Interfaces in the Laboratory,-1,Sensors,2015,50,Paul A. Selvadurai
124,"Locus: robust and calibration-free indoor localization, tracking and navigation for multi-story buildings",-1,Journal of Location Based Services,2015,4,Preeti Bhargava
125,Sound Reasoning (Literally): Prospects and Challenges of Current Acoustic Logics,-1,Logica Universalis,2015,1,Marc Champagne
126,Greening Residential Wi-Fi Networks under Centralized Control,-1,IEEE Transactions on Mobile Computing,2015,50,Vijay Sivaraman
127,Schreier decomposition of loops,-1,symposium on applied computational intelligence and informatics,2015,0,Péter T. Nagy
128,Identifying the most appropriate expansion of acronyms used in wikipedia text,-1,Software - Practice and Experience,2015,3,Dongjin Choi
129,Investment Timing with Incomplete Information and Multiple Means of Learning,-1,Operations Research,2015,3,J. Michael Harrison
130,Efficient radix conversions for classes of radices,-1,international symposium on circuits and systems,2015,0,Huapeng Wu
131,Region of interest correction factors improve reliability of diffusion imaging measures within and across scanners and field strengths,-1,NeuroImage,2015,6,Vijay K. Venkatraman
132,Intricate Axioms as Interaction Axioms,-1,Studia Logica,2015,0,Guillaume Aucher
134,Parsimonious Gaussian Process Models for the Classification of Hyperspectral Remote Sensing Images,-1,IEEE Geoscience and Remote Sensing Letters,2015,7,Mathieu Fauvel
135,Twinned buffering: A simple and highly effective scheme for parallelization of Successive Over-Relaxation on GPUs and other accelerators,-1,ieee international conference on high performance computing data and analytics,2015,1,Wim Vanderbauwhede
136,Online learning and profit maximization from revealed preferences,-1,national conference on artificial intelligence,2015,50,Kareem Amin
138,Cost Savings in Global Software Engineering: Where's the Evidence?,-1,IEEE Software,2015,0,Darja Smite
139,Rapidly Registering Identity-by-Descent Across Ancestral Recombination Graphs,-1,research in computational molecular biology,2015,0,Shuo Yang
140,Subjective and objective measurement of synthesized speech intelligibility in modern telephone conditions,-1,Speech Communication,2015,2,Peter Pocta
141,Cryptanalysis and provable improvement of a chaotic maps-based mobile dynamic ID authenticated key agreement scheme,-1,Security and Communication Networks,2015,0,Hongfeng Zhu
143,Sparse Bayesian Learning for DOA Estimation with Mutual Coupling,-1,Sensors,2015,2,Jisheng Dai
144,Joint Mode Selection and Spectrum Partitioning for Device-to-Device Communication: A Dynamic Stackelberg Game,-1,IEEE Transactions on Wireless Communications,2015,40,Kun Zhu
145,A new method to improve network topological similarity search: applied to fold recognition,-1,Bioinformatics,2015,7,John Lhota
146,Exploring the use of deep learning for feature location,-1,international conference on software maintenance,2015,7,Christopher S. Corley
148,PALMsiever: a tool to turn raw data into results for single-molecule localization microscopy,-1,Bioinformatics,2015,16,Thomas Pengo
149,Combinatorial RNA Design: Designability and Structure-Approximating Algorithm,-1,combinatorial pattern matching,2015,3,Jozef Haleš
151,Humidity Threshold Model of Numerical Control Multilayer Printed Circuit Board for Electrochemical Migration,-1,Quality and Reliability Engineering International,2015,0,Chuanning Xie
152,Reducing the Disruptive Effects of Interruptions With Noninvasive Brain Stimulation.,-1,Human Factors,2015,16,Eric J. Blumberg
153,Quantum Energy Regression using Scattering Transforms,-1,arXiv: Learning,2015,12,Matthew J. Hirn
155,Wireless powered communication: opportunities and challenges,-1,IEEE Communications Magazine,2015,173,Suzhi Bi
156,A complete error analysis for the evaluation of a two-dimensional nearly singular boundary element integral,-1,Journal of Computational and Applied Mathematics,2015,50,David Elliott
157,Apply an Augmented Reality in a Mobile Guidance to Increase Sense of Place for Heritage Places.,-1,Educational Technology & Society,2015,6,Yu-Lien Chang
158,Acoustic detail guides attention allocation in a selective listening task,-1,Journal of Cognitive Neuroscience,2015,50,Malte Wöstmann
159,Combining Robotic Persuasive Strategies: The Persuasive Power of a Storytelling Robot that Uses Gazing and Gestures,-1,International Journal of Social Robotics,2015,21,Jrc Jaap Ham
160,Understanding Confounding Effects in Linguistic Coordination: An Information-Theoretic Approach,-1,PLOS ONE,2015,0,Shuyang Gao
161,PCAC: Power- and Connectivity-Aware Clustering for Wireless Sensor Networks,-1,Eurasip Journal on Wireless Communications and Networking,2015,50,Ismail Butun
162,The slWaC Corpus of the SloveneWeb,-1,Informatica (lithuanian Academy of Sciences),2015,0,Tomaž Erjavec
163,Gain-scheduled H∞ control via parameter-dependent Lyapunov functions,-1,International Journal of Systems Science,2015,50,Sunan Chumalee
165,Decision coaching using the Ottawa family decision guide with parents and their children: a field testing study.,-1,BMC Medical Informatics and Decision Making,2015,8,Bryan Feenstra
167,Signaling New Product Reliability with After-Sales Service Contracts,-1,Management Science,2015,16,Nitin Bakshi
168,Action classification using a discriminative multilevel HDP-HMM,-1,Neurocomputing,2015,50,Natraj Raman
170,Exploiting the preferred domain of FDD massive MIMO systems with uniform planar arrays,-1,international conference on communications,2015,7,Junil Choi
171,Pre-processing for approximate Bayesian computation in image analysis,-1,Statistics and Computing,2015,19,Matthew T. Moores
173,Collective Document Classification with Implicit Inter-document Semantic Relationships,-1,north american chapter of the association for computational linguistics,2015,1,Clinton Burford
175,The Role of Implicit Motives in Strategic Decision-Making: Computational Models of Motivated Learning and the Evolution of Motivated Agents,-1,Games,2015,2,Kathryn E. Merrick
177,Action-conditional video prediction using deep networks in Atari games,-1,neural information processing systems,2015,189,Junhyuk Oh
178,Blind equalization and Automatic Modulation Classification based on pdf fitting,-1,"international conference on acoustics, speech, and signal processing",2015,3,Souhaila Fki
180,Energy efficient comparator for successive approximation register ADCs with application to wireless sensor networks,-1,International Journal of Sensor Networks,2015,2,Shitong Yuan
181,On modular decompositions of system signatures,-1,Journal of Multivariate Analysis,2015,5,Jean-Luc Marichal
182,A variable-precision information-entropy rough set approach for job searching,-1,Information Systems,2015,0,In-Kyoo Park
183,Low-Cost On-Chip Clock Jitter Measurement Scheme,-1,IEEE Transactions on Very Large Scale Integration Systems,2015,0,Martin Omana
184,Lossless Selection Views under Conditional Domain Constraints,-1,IEEE Transactions on Knowledge and Data Engineering,2015,50,Ingo Feinerer
185,Text to 3D Scene Generation with Rich Lexical Grounding,-1,meeting of the association for computational linguistics,2015,22,Angel X. Chang
187,Advances in noise-based testing of concurrent software,-1,"Software Testing, Verification & Reliability",2015,50,Joseph Fiedor
188,Rounding Methods for Neural Networks with Low Resolution Synaptic Weights,-1,arXiv: Neural and Evolutionary Computing,2015,19,Lorenz K. Muller
189,Understanding the IoT connectivity landscape: a contemporary M2M radio technology roadmap,-1,IEEE Communications Magazine,2015,114,Sergey D. Andreev
190,A 4.78 mm 2 Fully-Integrated Neuromodulation SoC Combining 64 Acquisition Channels With Digital Compression and Simultaneous Dual Stimulation,-1,IEEE Journal of Solid-state Circuits,2015,50,William James Biederman
192,Review Selection Using Micro-Reviews,-1,IEEE Transactions on Knowledge and Data Engineering,2015,9,Thanh-Son Nguyen
195,Age-Invariant Face Recognition Using Triangle Geometric Features,-1,International Journal of Pattern Recognition and Artificial Intelligence,2015,0,Amal Seralkhatem Osman Ali
197,"Road network vulnerability analysis : Conceptualization, implementation and application",-1,"Computers, Environment and Urban Systems",2015,45,Erik Jenelius
198,Reliable Physical Unclonable Functions Using Data Retention Voltage of SRAM Cells,-1,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2015,50,Xiaolin Xu
199,A data dissemination mechanism for motorway environment in VANETs,-1,Eurasip Journal on Wireless Communications and Networking,2015,10,Yang Yang
200,A formalization of multi-tape Turing machines,-1,Theoretical Computer Science,2015,7,Andrea Asperti
201,Discovering loners and phantoms in commit and issue data,-1,international conference on program comprehension,2015,8,Gerald Schermann
202,Analysing the diffusion of a mobile service supporting the e-grocery supply chain,-1,Business Process Management Journal,2015,1,Anna Corinna Cagliano
203,A survey on smart grid metering infrastructures: Threats and solutions,-1,electro information technology,2015,8,Rasel Mahmud
204,A note on implementing the Durbin and Koopman simulation smoother,-1,Computational Statistics & Data Analysis,2015,0,Marek Jarociński
205,Genomicus update 2015: KaryoView and MatrixView provide a genome-wide perspective to multispecies comparative genomics.,-1,Nucleic Acids Research,2015,52,Alexandra Louis
206,Construction of 4D high-definition cortical surface atlases of infants: Methods and applications,-1,Medical Image Analysis,2015,22,Gang Li
208,Crowdfunding: A Spimatic application of digital fandom,-1,New Media & Society,2015,50,Paul Booth
209,"Efficient top-(k,l) range query processing for uncertain data based on multicore architectures",-1,Distributed and Parallel Databases,2015,15,Guoqing Xiao
210,Dynamic Assortment Customization with Limited Inventories,-1,Manufacturing & Service Operations Management,2015,36,Fernando Bernstein
211,"Return of the Covert Channel, Data Center Style",-1,ieee international conference on cloud computing technology and science,2015,2,Kenneth Block
212,Query by example in large-scale code repositories,-1,international conference on software maintenance,2015,3,Vipin Balachandran
214,SQUASH: Simple QoS-Aware High-Performance Memory Scheduler for Heterogeneous Systems with Hardware Accelerators,-1,arXiv: Hardware Architecture,2015,6,Hiroyuki Usui
215,A multi-ontology approach to annotate scientific documents based on a modularization technique,-1,Journal of Biomedical Informatics,2015,0,Priscilla Corrêa e Castro Gomes
216,Invertible Orientation Scores of 3D Images,-1,arXiv: Numerical Analysis,2015,2,Mhj Michiel Janssen
217,Greenwash vs. Brownwash: Exaggeration and Undue Modesty in Corporate Sustainability Disclosure,-1,Organization Science,2015,1,Eun-Hee Kim
218,"Assessment of Snow Status Changes Using L-HH Temporal-Coherence Components at Mt. Dagu, China",-1,Remote Sensing,2015,5,Yong Wang
219,The usage of best practices and procedures in the database community,-1,Information Systems,2015,50,Victoria Holt
220,Fast Numerical Nonlinear Fourier Transforms,-1,IEEE Transactions on Information Theory,2015,7,Sander Wahls
222,A speedy cardiovascular diseases classifier using multiple criteria decision analysis.,-1,Sensors,2015,50,Wah Ching Lee
224,A Test Framework for Communications-Critical Large-Scale Systems,-1,IEEE Software,2015,50,Mohammad Nabulsi
225,Time-Series Pattern Based Effective Noise Generation for Privacy Protection on Cloud,-1,IEEE Transactions on Computers,2015,50,Gaofeng Zhang
226,Measurements of ultra wide band in-vehicle channel - statistical description and TOA positioning feasibility study,-1,Eurasip Journal on Wireless Communications and Networking,2015,12,Jiri Blumenstein
227,Efficient Learning of Linear Separators under Bounded Noise,-1,computational learning theory,2015,15,Pranjal Awasthi
228,Analysis of Intelligent Classifiers and Enhancing the Detection Accuracy for Intrusion Detection System,-1,International Journal of Computational Intelligence Systems,2015,6,Mohanad Albayati
229,Optimal Trade-Off Between Speed and Acuity When Searching for a Small Object,-1,Operations Research,2015,1,Steven Alpern
230,Leveraging Preposition Ambiguity to Assess Compositional Distributional Models of Semantics,-1,north american chapter of the association for computational linguistics,2015,4,Samuel Ritter
231,On the performance of Quaternionic Bidirectional Auto-Associative Memory,-1,international symposium on neural networks,2015,3,Toshifumi Minemoto
232,Single row layout models,-1,European Journal of Operational Research,2015,5,Birgit Keller
233,An Optimization Framework for Weighting Implicit Relevance Labels for Personalized Web Search,-1,international world wide web conferences,2015,7,Yury Ustinovskiy
234,Spatiotemporal data visualisation for homecare monitoring of elderly people,-1,Artificial Intelligence in Medicine,2015,10,Jose M. Juarez
235,Context-aware Gestures for Mixed-Initiative Text Editing UIs,-1,Interacting with Computers,2015,9,Luis A. Leiva
236,Mobility Increases Localizability: A Survey on Wireless Indoor Localization using Inertial Sensors,-1,ACM Computing Surveys,2015,89,Zheng Yang
237,"Emergence, agency, and interaction-notes from the field",-1,Artificial Life,2015,50,Simon Penny
239,Glyph Sorting: Interactive Visualization for Multi-dimensional Data,-1,Information Visualization,2015,50,David H. S. Chung
241,Temporalized Structure of Bodies of Evidence in the Multi-Criteria Decision-Making Model,-1,International Journal of Information Technology and Decision Making,2015,2,Gia Sirbiladze
242,An Expert CAD Flow for Incremental Functional Diagnosis of Complex Electronic Boards,-1,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2015,3,Cristiana Bolchini
243,Duluth: Word Sense Discrimination in the Service of Lexicography,-1,north american chapter of the association for computational linguistics,2015,4,Ted Pedersen
244,Capability Models and Their Applications in Planning,-1,adaptive agents and multi-agents systems,2015,10,Yu Zhang
245,The cultural work of microwork,-1,New Media & Society,2015,87,Lilly Irani
246,Bounds on the disparity and separation of tournament solutions,-1,Discrete Applied Mathematics,2015,50,Felix Brandt
248,Observation Modelling for Vision-Based Target Search by Unmanned Aerial Vehicles,-1,adaptive agents and multi-agents systems,2015,2,W. T. Luke Teacy
249,Payoffs in Exact TU Economies,-1,Journal of Economic Theory,2015,1,Omer Edhan
251,FPGA-based design and implementation of arterial pulse wave generator using piecewise Gaussian-cosine fitting,-1,Computers in Biology and Medicine,2015,2,Lu Wang
252,An exact general remeshing scheme applied to physically conservative voxelization,-1,Journal of Computational Physics,2015,2,Devon Powell
256,SPARQL-enabled identifier conversion with Identifiers.org,-1,Bioinformatics,2015,7,Sarala M. Wimalaratne
257,"Planning for HIV Screening, Testing, and Care at the Veterans Health Administration",-1,Operations Research,2015,10,Sarang Deo
258,‘Isn’t it just a way to protect Walt Disney’s rights?’: Media user perspectives on copyright,-1,New Media & Society,2015,0,Lee Edwards
259,Predicting Performance of a Face Recognition System Based on Image Quality,-1,arXiv: Computer Vision and Pattern Recognition,2015,0,Abhishek Dutta
261,Resource Allocation for Cost Minimization in Limited Feedback MU-MIMO Systems With Delay Guarantee,-1,IEEE Systems Journal,2015,50,Xiaoming Chen
262,Is my configuration any good: checking usability in an interactive sensor-based activity monitor,-1,Innovations in Systems and Software Engineering,2015,2,Muffy Calder
263,"An Integrated Framework for 3-D Modeling, Object Detection, and Pose Estimation From Point-Clouds",-1,IEEE Transactions on Instrumentation and Measurement,2015,50,Yulan Guo
264,Systematic noise degrades gene co-expression signals but can be corrected,-1,BMC Bioinformatics,2015,13,Saskia Freytag
266,Generalising Tree Traversals to DAGs: Exploiting Sharing without the Pain,-1,partial evaluation and semantic-based program manipulation,2015,3,Patrick Bahr
268,3-D Video Generation from Monocular Video Based on Hierarchical Video Segmentation,-1,signal processing systems,2015,50,Gwo Giun Lee
269,Alleviating simulator sickness with galvanic cutaneous stimulation.,-1,Human Factors,2015,1,Germán Gálvez-García
270,LocusTrack: Integrated visualization of GWAS results and genomic annotation,-1,Source Code for Biology and Medicine,2015,50,Gabriel Cuellar-Partida
272,The post-genomic era of biological network alignment,-1,Eurasip Journal on Bioinformatics and Systems Biology,2015,24,Fazle Elahi Faisal
273,"Survivability Evaluation of Gas, Water and Electricity Infrastructures",-1,Electronic Notes in Theoretical Computer Science,2015,50,Alberto Avritzer
274,Risk prediction for chronic kidney disease progression using heterogeneous electronic health record data and time series analysis.,-1,Journal of the American Medical Informatics Association,2015,50,Adler J. Perotte
276,Performance Degradation Due to Multipath Noise for Narrowband OFDM Systems: Channel-Based Analysis and Experimental Determination,-1,IEEE Transactions on Wireless Communications,2015,50,Frédéric Heereman
277,Optimized leaf ordering with class labels for hierarchical clustering,-1,Journal of Bioinformatics and Computational Biology,2015,0,Natalia Novoselova
278,"Open Access Publishing, academic research and scholarly communication",-1,Online Information Review,2015,1,Robin Osborne
279,The behavioral and neural effects of language on motion perception,-1,Journal of Cognitive Neuroscience,2015,50,Jolien C. Francken
